episode,steps,step_entities
21,2,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
21,3,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
22,1,"[{'attacker_node': '192.168.219.14', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
22,2,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
22,3,"[{'attacker_node': '192.168.36.181', 'nifr_nodes': ['192.168.126.240', '192.168.188.82'], 'nicr_nodes': ['192.168.110.61']}]"
22,4,"[{'attacker_node': '192.168.126.240', 'nifr_nodes': ['192.168.55.255', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
22,5,"[{'attacker_node': '192.168.213.192', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
22,6,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
22,7,"[{'attacker_node': '192.168.62.155', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
23,1,"[{'attacker_node': '192.168.75.117', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
23,2,"[{'attacker_node': '192.168.87.212', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
23,3,"[{'attacker_node': '192.168.36.181', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
23,4,"[{'attacker_node': '192.168.36.181', 'nifr_nodes': ['192.168.8.138', '192.168.239.210'], 'nicr_nodes': ['192.168.110.61']}]"
24,1,"[{'attacker_node': '192.168.213.192', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
24,2,"[{'attacker_node': '192.168.109.91', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
24,3,"[{'attacker_node': '192.168.190.122', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
24,4,"[{'attacker_node': '192.168.190.122', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
25,1,"[{'attacker_node': '192.168.73.158', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
25,2,"[{'attacker_node': '192.168.229.139', 'nifr_nodes': ['192.168.203.150', '192.168.61.54'], 'nicr_nodes': ['192.168.110.61']}]"
25,3,"[{'attacker_node': '192.168.180.124', 'nifr_nodes': ['192.168.40.75', '192.168.62.155'], 'nicr_nodes': ['192.168.110.61']}]"
